n1,n2,rounds,1D_MLE,1D_NPMLE,2D_NPMLE,1D_Proj,Welch
3,3,50,0.23664,0.23652,0.48232,0.23384,0.05584
3,4,50,0.35236,0.35244,0.5044,0.35088,0.1948
3,5,50,0.39716,0.39784,0.4982,0.39656,0.24728
3,6,50,0.43936,0.43684,0.51348,0.43484,0.27448
3,7,50,0.46384,0.46416,0.51984,0.46296,0.29164
3,8,50,0.48044,0.48064,0.52204,0.48024,0.295
3,9,50,0.49012,0.48968,0.52708,0.48912,0.29632
4,4,50,0.45864,0.4584,0.55748,0.45768,0.37932
4,5,50,0.50092,0.5008,0.56972,0.50016,0.4254
4,6,50,0.52704,0.5272,0.57988,0.5264,0.44472
4,7,50,0.54764,0.54716,0.5836,0.54656,0.46732
5,5,50,0.5602,0.56056,0.61036,0.56,0.52228
5,6,50,0.58676,0.58668,0.6198,0.58632,0.5498
5,7,50,0.60004,0.59984,0.62876,0.59956,0.56256
5,8,50,0.60628,0.60668,0.62856,0.60612,0.5642
6,6,50,0.62136,0.62144,0.65044,0.62104,0.60096
6,7,50,0.63108,0.63088,0.65276,0.63064,0.612
6,8,50,0.64696,0.64688,0.6642,0.64684,0.62624
7,7,50,0.65688,0.65704,0.67616,0.6568,0.64532
7,8,50,0.66848,0.66832,0.67268,0.65608,0.65748
8,8,50,0.68848,0.68856,0.7006,0.68864,0.67872
